var_t_pi;t_mu;t_mu_inv
-0.704;6.7;0.149253731
-0.011;5.5;0.181818182
0.322;5.7;0.175438596
-0.018;5.2;0.192307692
0.306;4.5;0.222222222
1.244;3.8;0.263157895
0.229;3.8;0.263157895
1.106;3.6;0.277777778
1.268;3.5;0.285714286
0.262;4.9;0.204081633
-1.341;5.9;0.169491525
-1.171;5.6;0.178571429
3.01;4.9;0.204081633
4.816;5.6;0.178571429
-1.908;8.5;0.117647059
-3.366;7.7;0.12987013
0.741;7.1;0.14084507
1.088;6.1;0.163934426
3.759;5.8;0.172413793
2.149;7.1;0.14084507
-3.183;7.6;0.131578947
-4.155;9.7;0.103092784
-2.949;9.6;0.104166667
1.105;7.5;0.133333333
-0.756;7.2;0.138888889
-1.702;7;0.142857143
1.791;6.2;0.161290323
0.487;5.5;0.181818182
0.681;5.3;0.188679245
0.585;5.6;0.178571429
-1.195;6.8;0.147058824
-1.198;7.5;0.133333333
-0.016;6.9;0.144927536
-0.433;6.1;0.163934426
0.273;5.6;0.178571429
0.119;5.4;0.185185185
-0.659;4.9;0.204081633
-0.736;4.5;0.222222222
0.651;4.2;0.238095238
1.152;4;0.25
-0.515;4.7;0.212765957
-1.265;5.8;0.172413793
0.698;6;0.166666667
0.384;5.5;0.181818182
0.725;5.1;0.196078431
-0.162;4.6;0.217391304
